theta,theta_dot,tau,J,b,k
1.2536211895705163,1.6768938895744023,1.980388141818082,0.5148449286841398,0.3066987993166423,1.1489356131866102
1.2704066497687572,1.6785460198240971,2.039764098127595,0.5149438132473599,0.3067436736545468,1.1489212953780799
1.2872016800758428,1.679503030708569,2.023827781865662,0.515042682866768,0.3067885463065329,1.1489068822599255
1.3039917162239654,1.6790036148122467,1.9684568607825714,0.5151415374434944,0.3068334172613825,1.1488923738413717
1.3207860719893556,1.6794355765390268,2.0356332598500466,0.5152403768786847,0.30687828650787785,1.1488777701317037
1.337557667694508,1.6771595705152478,1.9155684945413263,0.5153392010734994,0.3069231540348016,1.1488630711402679
1.3543179576394646,1.676028994495666,1.9932109886946259,0.5154380099291144,0.30696801983093674,1.1488482768764714
1.3710789097060272,1.676095206656263,2.073861662460387,0.5155368033467206,0.3070128838850671,1.148833387349783
1.3878356950156718,1.6756785309644628,2.0682934181420376,0.5156355812275247,0.30705774618597653,1.1488184025697317
1.4045732617205424,1.6737566704870555,2.0098385573136497,0.515734343472749,0.3071026067224494,1.1488033225459078
1.4212922732490998,1.6719011528557264,2.0319334949092096,0.5158330899836312,0.30714746548327065,1.1487881472879626
1.4379794407253608,1.6687167476260918,1.9820436128017058,0.5159318206614246,0.30719232245722555,1.1487728768056082
1.4546235570999873,1.6644116374626474,1.942424676899756,0.5160305354073987,0.3072371776330999,1.148757511108618
1.4712301709284512,1.6606613828464012,1.9888694313563278,0.5161292341228387,0.3072820309996798,1.1487420502068253
1.4877982733765454,1.6568102448094155,2.0016004654547777,0.516227916709046,0.307326882545752,1.1487264941101258
1.5043454986028215,1.6547225226276163,2.1105119974902546,0.5163265830673379,0.30737173226010367,1.1487108428284751
1.520843674743433,1.6498176140611474,1.983421581490151,0.5164252330990481,0.3074165801315223,1.14869509637189
1.5372990701311744,1.6455395387741387,2.0332440564705645,0.5165238667055265,0.30746142614879596,1.1486792547504485
1.5536997338859295,1.6400663754755116,1.9890968550649766,0.5166224837881397,0.3075062703007131,1.1486633179742889
1.57004041065161,1.6340676765680473,1.979091800791992,0.5167210842482705,0.30755111257606266,1.148647286053611
1.5863151193777858,1.6274708726175946,1.9650941379974933,0.5168196679873183,0.3075959529636341,1.1486311589986749
1.6025325183934078,1.6217399015621956,2.0264973237120922,0.5169182349066996,0.30764079145221745,1.1486149368198022
1.6186824920252305,1.614997363182267,1.991052146958002,0.5170167849078474,0.3076856280306029,1.148598619527375
1.6347491425298568,1.6066650504626276,1.9252971410679403,0.5171153178922117,0.30773046268758136,1.1485822071318363
1.650748807699988,1.5999665170131192,2.0256511865660745,0.5172138337612595,0.30777529541194426,1.1485656996436902
1.666659405701218,1.591059800123003,1.9277124988897774,0.517312332416475,0.30782012619248333,1.1485490970735015
1.6825123173572287,1.585291165601056,2.1055684918334627,0.5174108137593596,0.3078649550179908,1.1485323994318954
1.6982750157727375,1.576269841550885,1.9536564227092192,0.5175092776914318,0.30790978187725965,1.1485156067295592
1.713935123462934,1.5660107690196536,1.9048687208457027,0.5176077241142278,0.30795460675908304,1.1484987189772395
1.7295008968140813,1.5565773351147265,1.9623789324085203,0.5177061529293012,0.3079994296522548,1.1484817361857447
1.7449865216918319,1.548562487775065,2.0507529019601756,0.5178045640382231,0.3080442505455692,1.148464658365944
1.7603792724057248,1.5392750713892795,2.000122517701004,0.5179029573425824,0.308089069427821,1.1484474855287667
1.7756641624207956,1.5284890015070922,1.937255703426268,0.5180013327439859,0.30813388628780547,1.148430217685204
1.7908465560718931,1.5182393651097457,1.9792099610104705,0.5180996901440582,0.3081787011143184,1.1484128548463068
1.805917532148775,1.507097607688195,1.9471933397778292,0.5181980294444418,0.30822351389615615,1.1483953970231877
1.8208742318213667,1.4956699672591707,1.9461757040123961,0.5182963505467975,0.3082683246221154,1.1483778442270196
1.835712210595179,1.483797877381239,1.936711392875379,0.5183946533528041,0.3083131332809935,1.1483601964690364
1.8504145719920158,1.4702361396836607,1.8624005989528831,0.518492937764159,0.3083579398615884,1.1483424537605322
1.8649707158179003,1.4556143825884553,1.8200300021616516,0.5185912036825776,0.3084027443526984,1.1483246161128629
1.8793991675940236,1.4428451776123385,1.9282138309993666,0.518689451009794,0.3084475467431223,1.1483066835374443
1.8936966427971833,1.429747520315973,1.9237091158005217,0.5187876796475611,0.3084923470216596,1.1482886560457533
1.9078714511958947,1.41748083987114,1.9791055334569445,0.51888588949765,0.3085371451771102,1.1482705336493273
1.9219041270875328,1.4032675891637998,1.8904817174588748,0.5189840804618511,0.3085819411982744,1.148252316359765
